,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year,tract,geometry
160,"Census Tract 229.02, San Francisco County, California",131571,180188,-,-,116000,-,94063,-,105714,180673,-,173333,94531,130298,2017,229.02,"POLYGON ((-122.412047 37.75423, -122.409253 37.75439799999999, -122.408978 37.751201, -122.40871 37.748397, -122.410551 37.748367, -122.411488 37.748344, -122.411746 37.751034, -122.4119 37.752629, -122.412047 37.75423))"
161,"Census Tract 229.02, San Francisco County, California",133239,185688,-,-,119625,-,100893,-,111477,187404,-,186875,95469,112292,2018,229.02,"POLYGON ((-122.412047 37.75423, -122.409253 37.75439799999999, -122.408978 37.751201, -122.40871 37.748397, -122.410551 37.748367, -122.411488 37.748344, -122.411746 37.751034, -122.4119 37.752629, -122.412047 37.75423))"
162,"Census Tract 229.03, San Francisco County, California",63750,57969,41705,-,52404,-,90288,101750,47986,88750,51023,84919,61518,24583,2013,229.03,"POLYGON ((-122.409253 37.75439799999999, -122.407449 37.754506, -122.406453 37.75427699999999, -122.403127 37.754478, -122.403007 37.752446, -122.403784 37.749433, -122.405239 37.749125, -122.406788 37.748805, -122.40871 37.748397, -122.408978 37.751201, -122.409253 37.75439799999999))"
163,"Census Tract 229.03, San Francisco County, California",72778,61477,40500,-,63629,-,90526,151161,55972,95588,-,112500,60682,29865,2014,229.03,"POLYGON ((-122.409253 37.75439799999999, -122.407449 37.754506, -122.406453 37.75427699999999, -122.403127 37.754478, -122.403007 37.752446, -122.403784 37.749433, -122.405239 37.749125, -122.406788 37.748805, -122.40871 37.748397, -122.408978 37.751201, -122.409253 37.75439799999999))"
164,"Census Tract 229.03, San Francisco County, California",67368,67917,13988,61176,90104,-,14583,65536,40858,102973,58953,84167,66250,30600,2010,229.03,"POLYGON ((-122.409253 37.75439799999999, -122.407449 37.754506, -122.406453 37.75427699999999, -122.403127 37.754478, -122.403007 37.752446, -122.403784 37.749433, -122.405239 37.749125, -122.406788 37.748805, -122.40871 37.748397, -122.408978 37.751201, -122.409253 37.75439799999999))"
165,"Census Tract 229.03, San Francisco County, California",71182,73606,14063,63365,88563,-,65714,64107,45870,91293,47391,85057,73413,24293,2011,229.03,"POLYGON ((-122.409253 37.75439799999999, -122.407449 37.754506, -122.406453 37.75427699999999, -122.403127 37.754478, -122.403007 37.752446, -122.403784 37.749433, -122.405239 37.749125, -122.406788 37.748805, -122.40871 37.748397, -122.408978 37.751201, -122.409253 37.75439799999999))"
166,"Census Tract 229.03, San Francisco County, California",64439,70063,38571,63077,63011,-,68333,98125,48864,92448,51397,86691,62596,25781,2012,229.03,"POLYGON ((-122.409253 37.75439799999999, -122.407449 37.754506, -122.406453 37.75427699999999, -122.403127 37.754478, -122.403007 37.752446, -122.403784 37.749433, -122.405239 37.749125, -122.406788 37.748805, -122.40871 37.748397, -122.408978 37.751201, -122.409253 37.75439799999999))"
167,"Census Tract 229.03, San Francisco County, California",82656,84219,-,-,64708,-,69583,(X),61750,103750,(X),(X),(X),(X),2015,229.03,"POLYGON ((-122.409253 37.75439799999999, -122.407449 37.754506, -122.406453 37.75427699999999, -122.403127 37.754478, -122.403007 37.752446, -122.403784 37.749433, -122.405239 37.749125, -122.406788 37.748805, -122.40871 37.748397, -122.408978 37.751201, -122.409253 37.75439799999999))"
168,"Census Tract 229.03, San Francisco County, California",80972,86250,-,-,66932,-,75265,-,58000,123438,-,124063,108611,32031,2016,229.03,"POLYGON ((-122.409253 37.75439799999999, -122.407449 37.754506, -122.406453 37.75427699999999, -122.403127 37.754478, -122.403007 37.752446, -122.403784 37.749433, -122.405239 37.749125, -122.406788 37.748805, -122.40871 37.748397, -122.408978 37.751201, -122.409253 37.75439799999999))"
169,"Census Tract 229.03, San Francisco County, California",113250,125385,-,-,91328,-,79946,"250,000+",78288,131058,-,131042,131250,41944,2017,229.03,"POLYGON ((-122.409253 37.75439799999999, -122.407449 37.754506, -122.406453 37.75427699999999, -122.403127 37.754478, -122.403007 37.752446, -122.403784 37.749433, -122.405239 37.749125, -122.406788 37.748805, -122.40871 37.748397, -122.408978 37.751201, -122.409253 37.75439799999999))"
170,"Census Tract 229.03, San Francisco County, California",128750,142411,-,-,-,-,71938,"250,000+",71750,161875,-,150682,161500,56944,2018,229.03,"POLYGON ((-122.409253 37.75439799999999, -122.407449 37.754506, -122.406453 37.75427699999999, -122.403127 37.754478, -122.403007 37.752446, -122.403784 37.749433, -122.405239 37.749125, -122.406788 37.748805, -122.40871 37.748397, -122.408978 37.751201, -122.409253 37.75439799999999))"
171,"Census Tract 230.01, San Francisco County, California",51659,69500,44787,-,53920,-,-,85250,50294,120500,-,67639,60304,39500,2013,230.01,"POLYGON ((-122.406853 37.73805, -122.399685 37.739902, -122.395945 37.737784, -122.396515 37.737156, -122.398488 37.733808, -122.400022 37.732311, -122.399423 37.731703, -122.399867 37.730292, -122.402105 37.72779, -122.402752 37.729357, -122.404657 37.732949, -122.40506 37.733652, -122.406295 37.735307, -122.406551 37.735721, -122.406853 37.73805))"
172,"Census Tract 230.01, San Francisco County, California",54667,80807,45068,-,55114,-,-,85250,77083,80313,-,88162,60759,39107,2014,230.01,"POLYGON ((-122.406853 37.73805, -122.399685 37.739902, -122.395945 37.737784, -122.396515 37.737156, -122.398488 37.733808, -122.400022 37.732311, -122.399423 37.731703, -122.399867 37.730292, -122.402105 37.72779, -122.402752 37.729357, -122.404657 37.732949, -122.40506 37.733652, -122.406295 37.735307, -122.406551 37.735721, -122.406853 37.73805))"
173,"Census Tract 230.01, San Francisco County, California",48513,49830,41659,-,57969,-,14943,-,49063,68977,-,48725,49110,43654,2010,230.01,"POLYGON ((-122.406853 37.73805, -122.399685 37.739902, -122.395945 37.737784, -122.396515 37.737156, -122.398488 37.733808, -122.400022 37.732311, -122.399423 37.731703, -122.399867 37.730292, -122.402105 37.72779, -122.402752 37.729357, -122.404657 37.732949, -122.40506 37.733652, -122.406295 37.735307, -122.406551 37.735721, -122.406853 37.73805))"
174,"Census Tract 230.01, San Francisco County, California",48724,95694,40944,-,51000,-,14531,147500,49659,136500,37500,41854,54851,42949,2011,230.01,"POLYGON ((-122.406853 37.73805, -122.399685 37.739902, -122.395945 37.737784, -122.396515 37.737156, -122.398488 37.733808, -122.400022 37.732311, -122.399423 37.731703, -122.399867 37.730292, -122.402105 37.72779, -122.402752 37.729357, -122.404657 37.732949, -122.40506 37.733652, -122.406295 37.735307, -122.406551 37.735721, -122.406853 37.73805))"
175,"Census Tract 230.01, San Francisco County, California",50967,65333,44046,-,50595,-,14550,46944,50742,135227,-,44038,60066,42861,2012,230.01,"POLYGON ((-122.406853 37.73805, -122.399685 37.739902, -122.395945 37.737784, -122.396515 37.737156, -122.398488 37.733808, -122.400022 37.732311, -122.399423 37.731703, -122.399867 37.730292, -122.402105 37.72779, -122.402752 37.729357, -122.404657 37.732949, -122.40506 37.733652, -122.406295 37.735307, -122.406551 37.735721, -122.406853 37.73805))"
176,"Census Tract 230.01, San Francisco County, California",58750,96964,39349,-,54798,-,-,(X),83472,123889,-,88558,60977,38958,2015,230.01,"POLYGON ((-122.406853 37.73805, -122.399685 37.739902, -122.395945 37.737784, -122.396515 37.737156, -122.398488 37.733808, -122.400022 37.732311, -122.399423 37.731703, -122.399867 37.730292, -122.402105 37.72779, -122.402752 37.729357, -122.404657 37.732949, -122.40506 37.733652, -122.406295 37.735307, -122.406551 37.735721, -122.406853 37.73805))"
177,"Census Tract 230.01, San Francisco County, California",64583,97708,35688,-,62250,-,-,37292,81667,110625,-,90104,63917,45750,2016,230.01,"POLYGON ((-122.406853 37.73805, -122.399685 37.739902, -122.395945 37.737784, -122.396515 37.737156, -122.398488 37.733808, -122.400022 37.732311, -122.399423 37.731703, -122.399867 37.730292, -122.402105 37.72779, -122.402752 37.729357, -122.404657 37.732949, -122.40506 37.733652, -122.406295 37.735307, -122.406551 37.735721, -122.406853 37.73805))"
178,"Census Tract 230.01, San Francisco County, California",64527,86324,38664,-,65476,-,-,-,85809,84667,-,100417,62905,44306,2017,230.01,"POLYGON ((-122.406853 37.73805, -122.399685 37.739902, -122.395945 37.737784, -122.396515 37.737156, -122.398488 37.733808, -122.400022 37.732311, -122.399423 37.731703, -122.399867 37.730292, -122.402105 37.72779, -122.402752 37.729357, -122.404657 37.732949, -122.40506 37.733652, -122.406295 37.735307, -122.406551 37.735721, -122.406853 37.73805))"
179,"Census Tract 230.01, San Francisco County, California",70865,85125,39356,-,72404,-,-,56094,143447,83750,-,119050,68947,47679,2018,230.01,"POLYGON ((-122.406853 37.73805, -122.399685 37.739902, -122.395945 37.737784, -122.396515 37.737156, -122.398488 37.733808, -122.400022 37.732311, -122.399423 37.731703, -122.399867 37.730292, -122.402105 37.72779, -122.402752 37.729357, -122.404657 37.732949, -122.40506 37.733652, -122.406295 37.735307, -122.406551 37.735721, -122.406853 37.73805))"
180,"Census Tract 230.03, San Francisco County, California",79890,95417,78056,-,74265,-,-,71023,113594,95667,-,106944,84276,59837,2013,230.03,"POLYGON ((-122.400022 37.732311, -122.398488 37.733808, -122.396515 37.737156, -122.392776 37.735038, -122.393904 37.733788, -122.391617 37.732487, -122.391891 37.731684, -122.392699 37.729284, -122.396409 37.72980099999999, -122.399867 37.730292, -122.399423 37.731703, -122.400022 37.732311))"
181,"Census Tract 230.03, San Francisco County, California",85043,94808,82440,-,92604,-,-,41765,50750,98942,-,105972,87361,58594,2014,230.03,"POLYGON ((-122.400022 37.732311, -122.398488 37.733808, -122.396515 37.737156, -122.392776 37.735038, -122.393904 37.733788, -122.391617 37.732487, -122.391891 37.731684, -122.392699 37.729284, -122.396409 37.72980099999999, -122.399867 37.730292, -122.399423 37.731703, -122.400022 37.732311))"
182,"Census Tract 230.03, San Francisco County, California",76406,90750,54375,-,76719,-,153375,86250,31750,98224,-,83015,75677,61875,2010,230.03,"POLYGON ((-122.400022 37.732311, -122.398488 37.733808, -122.396515 37.737156, -122.392776 37.735038, -122.393904 37.733788, -122.391617 37.732487, -122.391891 37.731684, -122.392699 37.729284, -122.396409 37.72980099999999, -122.399867 37.730292, -122.399423 37.731703, -122.400022 37.732311))"
183,"Census Tract 230.03, San Francisco County, California",80906,67026,93068,-,67284,-,157768,68864,34036,110278,-,85398,80750,67688,2011,230.03,"POLYGON ((-122.400022 37.732311, -122.398488 37.733808, -122.396515 37.737156, -122.392776 37.735038, -122.393904 37.733788, -122.391617 37.732487, -122.391891 37.731684, -122.392699 37.729284, -122.396409 37.72980099999999, -122.399867 37.730292, -122.399423 37.731703, -122.400022 37.732311))"
184,"Census Tract 230.03, San Francisco County, California",79512,90375,78537,-,82958,-,162647,41875,41250,103403,-,83583,88750,69205,2012,230.03,"POLYGON ((-122.400022 37.732311, -122.398488 37.733808, -122.396515 37.737156, -122.392776 37.735038, -122.393904 37.733788, -122.391617 37.732487, -122.391891 37.731684, -122.392699 37.729284, -122.396409 37.72980099999999, -122.399867 37.730292, -122.399423 37.731703, -122.400022 37.732311))"
185,"Census Tract 230.03, San Francisco County, California",81569,101750,80319,-,78068,-,(X),41736,58750,110167,-,86378,86528,58534,2015,230.03,"POLYGON ((-122.400022 37.732311, -122.398488 37.733808, -122.396515 37.737156, -122.392776 37.735038, -122.393904 37.733788, -122.391617 37.732487, -122.391891 37.731684, -122.392699 37.729284, -122.396409 37.72980099999999, -122.399867 37.730292, -122.399423 37.731703, -122.400022 37.732311))"
186,"Census Tract 230.03, San Francisco County, California",76528,100833,76723,-,76985,-,-,41563,58205,113472,-,81827,80789,59617,2016,230.03,"POLYGON ((-122.400022 37.732311, -122.398488 37.733808, -122.396515 37.737156, -122.392776 37.735038, -122.393904 37.733788, -122.391617 37.732487, -122.391891 37.731684, -122.392699 37.729284, -122.396409 37.72980099999999, -122.399867 37.730292, -122.399423 37.731703, -122.400022 37.732311))"
187,"Census Tract 230.03, San Francisco County, California",74113,122652,78299,-,73177,-,45465,-,60868,123750,-,87929,78993,60196,2017,230.03,"POLYGON ((-122.400022 37.732311, -122.398488 37.733808, -122.396515 37.737156, -122.392776 37.735038, -122.393904 37.733788, -122.391617 37.732487, -122.391891 37.731684, -122.392699 37.729284, -122.396409 37.72980099999999, -122.399867 37.730292, -122.399423 37.731703, -122.400022 37.732311))"
188,"Census Tract 230.03, San Francisco County, California",77365,125766,64042,-,75685,-,45202,-,58750,128173,-,90851,115833,50156,2018,230.03,"POLYGON ((-122.400022 37.732311, -122.398488 37.733808, -122.396515 37.737156, -122.392776 37.735038, -122.393904 37.733788, -122.391617 37.732487, -122.391891 37.731684, -122.392699 37.729284, -122.396409 37.72980099999999, -122.399867 37.730292, -122.399423 37.731703, -122.400022 37.732311))"
189,"Census Tract 231.02, San Francisco County, California",34617,105900,33017,-,31736,-,48421,22083,66250,68958,-,26127,42120,67115,2013,231.02,"POLYGON ((-122.387399 37.734738, -122.38717 37.735698, -122.388529 37.736475, -122.385282 37.74024, -122.381558 37.738123, -122.384047 37.737514, -122.382919 37.734511, -122.380186 37.73266, -122.381284 37.734034, -122.379932 37.733381, -122.379779 37.730799, -122.381439 37.730582, -122.38209 37.730635, -122.383431 37.729738, -122.385287 37.730791, -122.389035 37.732919, -122.387399 37.734738))"
190,"Census Tract 231.02, San Francisco County, California",35390,68438,29538,-,32067,14613,-,52188,43370,75357,-,26958,42396,51522,2014,231.02,"POLYGON ((-122.387399 37.734738, -122.38717 37.735698, -122.388529 37.736475, -122.385282 37.74024, -122.381558 37.738123, -122.384047 37.737514, -122.382919 37.734511, -122.380186 37.73266, -122.381284 37.734034, -122.379932 37.733381, -122.379779 37.730799, -122.381439 37.730582, -122.38209 37.730635, -122.383431 37.729738, -122.385287 37.730791, -122.389035 37.732919, -122.387399 37.734738))"
191,"Census Tract 231.02, San Francisco County, California",26987,97813,21995,-,31042,-,-,-,98646,44511,"2,500-",26202,30170,42880,2010,231.02,"POLYGON ((-122.387399 37.734738, -122.38717 37.735698, -122.388529 37.736475, -122.385282 37.74024, -122.381558 37.738123, -122.384047 37.737514, -122.382919 37.734511, -122.380186 37.73266, -122.381284 37.734034, -122.379932 37.733381, -122.379779 37.730799, -122.381439 37.730582, -122.38209 37.730635, -122.383431 37.729738, -122.385287 37.730791, -122.389035 37.732919, -122.387399 37.734738))"
192,"Census Tract 231.02, San Francisco County, California",29774,103250,28479,-,31250,-,18826,22000,46339,46384,-,21535,29896,61625,2011,231.02,"POLYGON ((-122.387399 37.734738, -122.38717 37.735698, -122.388529 37.736475, -122.385282 37.74024, -122.381558 37.738123, -122.384047 37.737514, -122.382919 37.734511, -122.380186 37.73266, -122.381284 37.734034, -122.379932 37.733381, -122.379779 37.730799, -122.381439 37.730582, -122.38209 37.730635, -122.383431 37.729738, -122.385287 37.730791, -122.389035 37.732919, -122.387399 37.734738))"
193,"Census Tract 231.02, San Francisco County, California",30754,46713,25338,-,31875,56518,45250,21908,45650,46713,-,25169,29615,63221,2012,231.02,"POLYGON ((-122.387399 37.734738, -122.38717 37.735698, -122.388529 37.736475, -122.385282 37.74024, -122.381558 37.738123, -122.384047 37.737514, -122.382919 37.734511, -122.380186 37.73266, -122.381284 37.734034, -122.379932 37.733381, -122.379779 37.730799, -122.381439 37.730582, -122.38209 37.730635, -122.383431 37.729738, -122.385287 37.730791, -122.389035 37.732919, -122.387399 37.734738))"
194,"Census Tract 231.02, San Francisco County, California",31434,75417,22121,-,51563,14087,(X),(X),42803,104821,(X),(X),(X),(X),2015,231.02,"POLYGON ((-122.387399 37.734738, -122.38717 37.735698, -122.388529 37.736475, -122.385282 37.74024, -122.381558 37.738123, -122.384047 37.737514, -122.382919 37.734511, -122.380186 37.73266, -122.381284 37.734034, -122.379932 37.733381, -122.379779 37.730799, -122.381439 37.730582, -122.38209 37.730635, -122.383431 37.729738, -122.385287 37.730791, -122.389035 37.732919, -122.387399 37.734738))"
195,"Census Tract 231.02, San Francisco County, California",35951,117778,27056,-,76188,-,65170,-,-,136250,-,28167,46208,50917,2016,231.02,"POLYGON ((-122.387399 37.734738, -122.38717 37.735698, -122.388529 37.736475, -122.385282 37.74024, -122.381558 37.738123, -122.384047 37.737514, -122.382919 37.734511, -122.380186 37.73266, -122.381284 37.734034, -122.379932 37.733381, -122.379779 37.730799, -122.381439 37.730582, -122.38209 37.730635, -122.383431 37.729738, -122.385287 37.730791, -122.389035 37.732919, -122.387399 37.734738))"
196,"Census Tract 231.02, San Francisco County, California",28618,148214,21185,-,77619,-,-,-,-,149107,-,20324,45714,-,2017,231.02,"POLYGON ((-122.387399 37.734738, -122.38717 37.735698, -122.388529 37.736475, -122.385282 37.74024, -122.381558 37.738123, -122.384047 37.737514, -122.382919 37.734511, -122.380186 37.73266, -122.381284 37.734034, -122.379932 37.733381, -122.379779 37.730799, -122.381439 37.730582, -122.38209 37.730635, -122.383431 37.729738, -122.385287 37.730791, -122.389035 37.732919, -122.387399 37.734738))"
197,"Census Tract 231.02, San Francisco County, California",31065,148917,19132,-,80385,88403,-,-,-,223250,-,28352,49722,-,2018,231.02,"POLYGON ((-122.387399 37.734738, -122.38717 37.735698, -122.388529 37.736475, -122.385282 37.74024, -122.381558 37.738123, -122.384047 37.737514, -122.382919 37.734511, -122.380186 37.73266, -122.381284 37.734034, -122.379932 37.733381, -122.379779 37.730799, -122.381439 37.730582, -122.38209 37.730635, -122.383431 37.729738, -122.385287 37.730791, -122.389035 37.732919, -122.387399 37.734738))"
